DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd14,4614.978765153052,3771.2780682234957,4622.185547898619,3850.754248007705,1289.8721793466632
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd15,4621.097238247541,3945.7935915607636,4622.185547898619,3850.754248007705,1346.4186236674511
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd16,4609.990094004953,3642.5801127752748,4622.185547898619,3850.754248007705,1343.4149557369524
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd17,4618.239984989311,3706.77165344946,4622.185547898619,3850.754248007705,1275.9608250821448
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd18,4638.403661390128,3801.113224511858,4622.185547898619,3850.754248007705,1322.9423262420632
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd19,4613.152244329246,3795.0771725096815,4622.185547898619,3850.754248007705,1381.2080458062942
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd20,4634.6749548226035,4029.3405046986104,4622.185547898619,3850.754248007705,1370.6213782596117
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd21,4598.518345420536,3878.4015110379414,4622.185547898619,3850.754248007705,1310.5278257253349
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd22,4624.951180773709,3945.4305118241286,4622.185547898619,3850.754248007705,1382.3242775749816
1p2,,,,RootMxb1_[kN-m],,,0.0,7.0,sd23,4633.250333606891,3816.618907509348,4622.185547898619,3850.754248007705,1265.9564103624184
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd0,4778.7865261873085,4095.091064938088,4726.247613398286,3937.015745304581,2020.2936060751642
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd1,4725.936637682152,4138.956495279009,4726.247613398286,3937.015745304581,2012.7028345041576
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd2,4686.986280060176,3883.610789179049,4726.247613398286,3937.015745304581,1900.7517266622992
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd3,4726.06391171693,4081.482924676113,4726.247613398286,3937.015745304581,2038.4102385923245
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd4,4716.8967591504115,3990.877498778014,4726.247613398286,3937.015745304581,1951.9357742278073
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd5,4761.9990398640975,3954.630995592737,4726.247613398286,3937.015745304581,1967.1131213190401
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd6,4725.247118029946,3897.500854033791,4726.247613398286,3937.015745304581,1790.2208038540014
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd7,4734.541887687339,3873.408173228912,4726.247613398286,3937.015745304581,1969.0586208369696
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd8,4711.810253147798,3906.588967983565,4726.247613398286,3937.015745304581,1918.3808885748383
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd9,4728.295799487625,3873.7246198211174,4726.247613398286,3937.015745304581,1958.55641399602
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd10,4666.535600372516,3791.0774705018284,4726.247613398286,3937.015745304581,1842.9967150981852
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd11,4749.099899423178,3888.010063850522,4726.247613398286,3937.015745304581,1953.0914222038245
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd12,4697.801577879513,3994.1513828418024,4726.247613398286,3937.015745304581,1872.4965188601457
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd13,4767.11709215265,4031.9304261398934,4726.247613398286,3937.015745304581,1864.0623149849937
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd14,4710.248738179828,3913.1788319205275,4726.247613398286,3937.015745304581,1894.7093088860995
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd15,4708.193283333385,3891.479412058951,4726.247613398286,3937.015745304581,1961.9919486918384
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd16,4716.413686103213,3920.133938735684,4726.247613398286,3937.015745304581,1894.9168875948687
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd17,4701.136024103828,3840.981077814464,4726.247613398286,3937.015745304581,1891.6037720527177
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd18,4747.333177155339,3925.3419973703294,4726.247613398286,3937.015745304581,1957.5470442279693
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd19,4721.975798009807,3900.0206944248816,4726.247613398286,3937.015745304581,1953.8795511351932
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd20,4759.776800005647,3987.7517199428016,4726.247613398286,3937.015745304581,2017.669305999451
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd21,4709.876905156851,3842.9986170352586,4726.247613398286,3937.015745304581,1912.0072384060581
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd22,4708.978499280023,3839.801049478718,4726.247613398286,3937.015745304581,1970.844481462842
1p2,,,,RootMxb1_[kN-m],,,0.0,8.0,sd23,4752.989134172347,4025.648821683888,4726.247613398286,3937.015745304581,1879.7817834930147
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd0,4861.915325427219,4041.6258313046906,4804.317048668867,4010.7825426853465,2687.655015299644
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd1,4812.935422325345,4067.046017228183,4804.317048668867,4010.7825426853465,2605.5700840952973
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd2,4779.125632601108,3953.4307298761973,4804.317048668867,4010.7825426853465,2505.2172073230563
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd3,4783.897065299736,4003.688660914592,4804.317048668867,4010.7825426853465,2701.681135689228
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd4,4813.75494657824,3978.21319308644,4804.317048668867,4010.7825426853465,2502.7418781571396
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd5,4817.074094170833,3985.4615746293316,4804.317048668867,4010.7825426853465,2599.8630368855765
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd6,4798.317765680917,3934.4715099729387,4804.317048668867,4010.7825426853465,2467.1035142712017
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd7,4823.536704535063,4100.453397146422,4804.317048668867,4010.7825426853465,2590.018446415892
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd8,4785.969254760213,3852.5702435417843,4804.317048668867,4010.7825426853465,2452.5093517859946
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd9,4783.992797855181,3954.8293050211364,4804.317048668867,4010.7825426853465,2486.2615084490435
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd10,4739.267425406357,3939.447457140579,4804.317048668867,4010.7825426853465,2434.322133618973
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd11,4814.270941004093,4055.963885736211,4804.317048668867,4010.7825426853465,2564.5149802203314
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd12,4773.341086326315,4155.400788457233,4804.317048668867,4010.7825426853465,2512.049418752975
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd13,4864.91689562583,4068.283013358987,4804.317048668867,4010.7825426853465,2559.0530380302785
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd14,4837.156706663503,4012.4454448849124,4804.317048668867,4010.7825426853465,2467.3128687189173
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd15,4765.932528105954,4019.4934748531605,4804.317048668867,4010.7825426853465,2539.044929929524
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd16,4787.492879567653,3986.2062654489223,4804.317048668867,4010.7825426853465,2519.2840920176413
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd17,4808.688517640394,3997.914188678516,4804.317048668867,4010.7825426853465,2542.26001155029
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd18,4801.517557115954,4042.57133147815,4804.317048668867,4010.7825426853465,2660.4422193890728
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd19,4788.627503014209,3932.7268987479997,4804.317048668867,4010.7825426853465,2504.1702590162445
