Variable,Uref,MaxIndividual_porVel,SeedWeightedDEL,SeedSpeedWeightedDEL
TwrBsMxt_[kN-m],23,55473.3378165527,29335.0579106142,12922.8184685222
TwrBsMxt_[kN-m],24,76977.3980612993,32148.1391141447,12922.8184685222
TwrBsMxt_[kN-m],25,76900.5035023791,33201.8474099668,12922.8184685222
TwrBsMyt_[kN-m],4,41906.2193006497,8325.23982265161,21527.0324218709
TwrBsMyt_[kN-m],5,64251.2608902313,13615.603462163,21527.0324218709
TwrBsMyt_[kN-m],6,73754.5436904633,20119.8325765558,21527.0324218709
TwrBsMyt_[kN-m],7,80473.9285391148,23862.2272819442,21527.0324218709
TwrBsMyt_[kN-m],8,85061.3693552842,24602.9107103406,21527.0324218709
TwrBsMyt_[kN-m],9,88751.2793582069,22928.6428316862,21527.0324218709
TwrBsMyt_[kN-m],10,85711.397361213,20932.7299403467,21527.0324218709
TwrBsMyt_[kN-m],11,85710.4634526113,20927.9789457367,21527.0324218709
TwrBsMyt_[kN-m],12,83704.717651924,21698.9750544414,21527.0324218709
TwrBsMyt_[kN-m],13,80782.2718052766,22732.075818743,21527.0324218709
TwrBsMyt_[kN-m],14,78460.9199702117,23821.7758963104,21527.0324218709
TwrBsMyt_[kN-m],15,76163.0381176519,25191.8468156046,21527.0324218709
TwrBsMyt_[kN-m],16,82142.3243580718,26602.6280484571,21527.0324218709
TwrBsMyt_[kN-m],17,81837.6938305952,28031.0847843278,21527.0324218709
TwrBsMyt_[kN-m],18,82108.8639336703,29251.8492218442,21527.0324218709
TwrBsMyt_[kN-m],19,85872.7553568887,30491.1306602634,21527.0324218709
TwrBsMyt_[kN-m],20,88464.3019109989,32058.8619029187,21527.0324218709
TwrBsMyt_[kN-m],21,87039.2376241372,33292.8887294701,21527.0324218709
TwrBsMyt_[kN-m],22,84753.1748530365,34442.9667896249,21527.0324218709
TwrBsMyt_[kN-m],23,91749.4257128663,35634.7453799277,21527.0324218709
TwrBsMyt_[kN-m],24,86204.6997439793,36351.7721569028,21527.0324218709
TwrBsMyt_[kN-m],25,89060.9787855918,37535.5623400192,21527.0324218709
